id,state,fastfood,obesity
1,Alabama,81.7,35.6
2,Alaska,61.9,29.8
3,Arizona,67.9,28.4
4,Arkansas,69.9,34.5
5,California,82.3,24.2
6,Colorado,75.7,20.2
7,Connecticut,76.1,25.3
8,Delaware,78.3,29.7
9,Florida,65.5,22.1
10,Georgia,82.5,30.7
11,Hawaii,97.5,22.7
12,Idaho,65.5,28.6
13,Illinois,82.5,30.8
14,Indiana,73.7,31.3
15,Iowa,67.7,32.1
16,Kansas,74.7,34.2
17,Kentucky,74.2,34.6
18,Louisiana,76.2,36.2
19,Maine,74.9,30
20,Maryland,89.7,28.9
21,Massachusetts,77.5,24.3
22,Michigan,73.9,31.2
23,Minnesota,67,26.1
24,Mississippi,77.3,35.6
25,Missouri,72.9,32.4
26,Montana,69.8,23.6
27,Nebraska,71.9,31.4
28,Nevada,84.8,26.7
29,New Hampshire,79.8,26.3
30,New Jersey,81.2,25.6
31,New Mexico,73.4,28.8
32,New York,92.3,25
33,North Carolina,76.9,30.1
34,North Dakota,65.6,31
35,Ohio,82.8,29.8
36,Oklahoma,76,33.9
37,Oregon,73.4,30.1
38,Pennsylvania,75.5,30
39,Rhode Island,81.3,26
40,South Carolina,73.5,31.7
41,South Dakota,63.9,30.4
42,Tennessee,77.8,33.8
43,Texas,75.8,32.4
44,Utah,76.2,24.5
45,Vermont,68.3,25.1
46,Virginia,80.1,29.2
47,Washington,66.8,26.4
48,West Virginia,73.8,35.6
49,Wisconsin,65,30.7
50,Wyoming,62.5,29
